postal_code;federal_district;region;city;timezone;geo_lat;geo_lon;population;foundation_year
385200;Южный;Республика Адыгея;Адыгейск;UTC+3;44.878414;39.190289;12689;1969
385000;Южный;Республика Адыгея;Майкоп;UTC+3;44.6098268;40.1006606;144055;1857
649000;Сибирский;Республика Алтай;Горно-Алтайск;UTC+7;51.9581028;85.9603235;62861;1830
658125;Сибирский;Алтайский край;Алейск;UTC+7;52.4922513;82.7793606;28528;1913
656000;Сибирский;Алтайский край;Барнаул;UTC+7;53.3479968;83.7798064;635585;1730
659900;Сибирский;Алтайский край;Белокуриха;UTC+7;51.996152;84.9839604;15072;1846
659300;Сибирский;Алтайский край;Бийск;UTC+7;52.5393864;85.2138453;203826;1709
658420;Сибирский;Алтайский край;Горняк;UTC+7;50.9979622;81.4643358;13040;1942
659100;Сибирский;Алтайский край;Заринск;UTC+7;53.7063476;84.9315081;47035;1748
658480;Сибирский;Алтайский край;Змеиногорск;UTC+7;51.1581094;82.1872547;10569;1736
658700;Сибирский;Алтайский край;Камень-на-Оби;UTC+7;53.7913974;81.3545053;41787;1751
658041;Сибирский;Алтайский край;Новоалтайск;UTC+7;53.4119759;83.9311069;73134;1736
658200;Сибирский;Алтайский край;Рубцовск;UTC+7;51.5012067;81.2078695;146386;1892
658820;Сибирский;Алтайский край;Славгород;UTC+7;52.999463;78.6459232;30370;1910
658837;Сибирский;Алтайский край;Яровое;UTC+7;52.9252146;78.5729775;18085;1943
676805;Дальневосточный;Амурская область;Белогорск;UTC+9;50.9213415;128.4739471;68220;1860
675000;Дальневосточный;Амурская область;Благовещенск;UTC+9;50.290659;127.527198;214397;1856
676870;Дальневосточный;Амурская область;Завитинск;UTC+9;50.1064111;129.4391813;11481;1906
676151;Дальневосточный;Амурская область;Зея;UTC+9;53.7340088;127.265787;25042;1879
676770;Дальневосточный;Амурская область;Райчихинск;UTC+9;49.7941615;129.4112492;20499;1932
676450;Дальневосточный;Амурская область;Свободный;UTC+9;51.3614103;128.1219729;58594;1912
676011;Дальневосточный;Амурская область;Сковородино;UTC+9;53.9871095;123.9437205;9561;1908
676280;Дальневосточный;Амурская область;Тында;UTC+9;55.1546441;124.7468904;35574;1907
676470;Дальневосточный;Амурская область;Циолковский;UTC+9;51.762481;128.1219846;6208;1961
676301;Дальневосточный;Амурская область;Шимановск;UTC+9;52.0051886;127.7005458;19815;1910
163000;Северо-Западный;Архангельская область;Архангельск;UTC+3;64.5394289;40.5169606;348716;1584
165150;Северо-Западный;Архангельская область;Вельск;UTC+3;61.066;42.1032789;23885;1137
164110;Северо-Западный;Архангельская область;Каргополь;UTC+3;61.5009724;38.9636966;10148;1447
165650;Северо-Западный;Архангельская область;Коряжма;UTC+3;61.2885948;47.1003015;39629;1535
165300;Северо-Западный;Архангельская область;Котлас;UTC+3;61.2528972;46.633242;60562;1617
164750;Северо-Западный;Архангельская область;Мезень;UTC+3;65.8398078;44.2532273;3599;1500
164170;Северо-Западный;Архангельская область;Мирный;UTC+3;62.7645265;40.3360076;30259;1957
164900;Северо-Западный;Архангельская область;Новодвинск;UTC+3;64.4136851;40.8208143;40612;1936
164200;Северо-Западный;Архангельская область;Няндома;UTC+3;61.6654674;40.2062947;22354;1898
164840;Северо-Западный;Архангельская область;Онега;UTC+3;63.9162928;38.0805031;21359;1137
164500;Северо-Западный;Архангельская область;Северодвинск;UTC+3;64.5625385;39.8180934;192265;1936
165330;Северо-Западный;Архангельская область;Сольвычегодск;UTC+3;61.3319616;46.920441;2460;1492
165160;Северо-Западный;Архангельская область;Шенкурск;UTC+3;62.1057272;42.8996973;5702;1137
414000;Южный;Астраханская область;Астрахань;UTC+4;46.3655652;48.0559236;520662;1558
416500;Южный;Астраханская область;Ахтубинск;UTC+4;48.2752034;46.1906462;41898;1768
416540;Южный;Астраханская область;Знаменск;UTC+4;48.5866291;45.7368019;29357;1948
416340;Южный;Астраханская область;Камызяк;UTC+4;46.110579;48.07333;16291;1560
416111;Южный;Астраханская область;Нариманов;UTC+4;46.6916565;47.8502476;11386;1963
416010;Южный;Астраханская область;Харабали;UTC+4;47.408999;47.2525345;18209;1789
452920;Приволжский;Республика Башкортостан;Агидель;UTC+5;55.8999056;53.9220144;16365;1980
453630;Приволжский;Республика Башкортостан;Баймак;UTC+5;52.5912896;58.3110998;17710;1850
452000;Приволжский;Республика Башкортостан;Белебей;UTC+5;54.1034582;54.1113129;60183;1757
453500;Приволжский;Республика Башкортостан;Белорецк;UTC+5;53.9676488;58.4100419;68804;1762
452450;Приволжский;Республика Башкортостан;Бирск;UTC+5;55.4155753;55.5582214;41637;1663
453430;Приволжский;Республика Башкортостан;Благовещенск;UTC+5;55.0499867;55.9553186;34246;1756
453400;Приволжский;Республика Башкортостан;Давлеканово;UTC+5;54.2226707;55.0312373;24040;1730
452320;Приволжский;Республика Башкортостан;Дюртюли;UTC+5;55.4848318;54.8524765;31272;1795
453200;Приволжский;Республика Башкортостан;Ишимбай;UTC+5;53.4545764;56.0438751;66259;1932
453300;Приволжский;Республика Башкортостан;Кумертау;UTC+5;52.7564939;55.7970197;62854;1947
453570;Приволжский;Республика Башкортостан;Межгорье;UTC+5;54.2397689;57.9614547;17353;1979
453853;Приволжский;Республика Башкортостан;Мелеуз;UTC+5;52.9589532;55.9282838;61408;1766
452680;Приволжский;Республика Башкортостан;Нефтекамск;UTC+5;56.088377;54.2483061;121757;1957
